姓名,聯盟,身份,年齡,身高,生日,NBA選秀年,NBA選秀順位,CBA選秀年,CBA選秀順位,選秀聯盟,選秀年,選秀順位,SBL選秀年,SBL選秀順位,2022_2023背號,2022_2023隊伍,2021_2022背號,2021_2022隊伍,2020_2021背號,2020_2021隊伍
劉 錚,CBA,本土,32,191,1990/11/24,,,,,,,,2011,總順位: 1,5,CBA 上海久事,5,CBA 上海久事,5,CBA 上海久事
陳盈駿,CBA,本土,29,182,1993/06/09,,,2017,總順位: 1,,,,,,9,CBA 廣州龍獅,9,CBA 廣州龍獅,9,CBA 廣州龍獅
林庭謙,CBA,本土,23,190,1999/10/31,,,2020,總順位: 3,,,,,,0,CBA 天津榮鋼,0,CBA 天津榮鋼,0,CBA 天津榮鋼
馬建豪,CBA,本土,21,202,2001/04/29,,,2022,總順位: 2,,,,,,1,CBA 江蘇肯蒂亞,,,,
許晉哲,PLG,總教練,49,,1973/04/27,,,,,,,,,,,PLG 臺北富邦勇士,,PLG 臺北富邦勇士,,PLG 臺北富邦勇士
林志傑,PLG,本土,40,192,1982/06/11,,,,,,,,,,12,PLG 臺北富邦勇士,12,PLG 臺北富邦勇士,12,PLG 臺北富邦勇士
蔡文誠,PLG,本土,37,190,1985/05/31,,,,,,,,,,14,PLG 臺北富邦勇士,14,PLG 臺北富邦勇士,14,PLG 臺北富邦勇士
張宗憲,PLG,本土,34,193,1988/12/27,,,,,,,,2016,總順位: 1,3,PLG 臺北富邦勇士,3,PLG 臺北富邦勇士,3,PLG 臺北富邦勇士
林孟學,PLG,本土,30,195,1992/10/14,,,,,,,,2015,總順位: 9,13,PLG 臺北富邦勇士,13,PLG 臺北富邦勇士,13,PLG 臺北富邦勇士
張文平,PLG,華裔,29,195,1993/07/14,,,,,,,,,,10,PLG 臺北富邦勇士,28,PLG 新北國王,,
呂宗霖,PLG,本土,28,175,1994/11/17,,,,,,,,2017,總順位: 8,7,PLG 臺北富邦勇士,0,SBL 高雄九太科技,,
謝宗融,PLG,本土,27,199,1995/08/16,,,,,,,,2017,總順位: 1,15,PLG 臺北富邦勇士,14,SBL 臺灣銀行,14,SBL 臺灣銀行
石博恩,PLG,外籍生,27,198,1995/10/05,,,,,,,,,,23,PLG 臺北富邦勇士,23,PLG 臺北富邦勇士,23,PLG 臺北富邦勇士
張耕淯,PLG,本土,27,188,1995/10/16,,,,,,,,,,29,PLG 臺北富邦勇士,29,PLG 臺北富邦勇士,29,PLG 桃園領航猿
賴廷恩,PLG,本土,26,176,1996/07/22,,,,,,,,2018,總順位: 3,0,PLG 臺北富邦勇士,0,PLG 臺北富邦勇士,0,PLG 臺北富邦勇士
簡廷兆,PLG,本土,25,183,1998/01/16,,,,,PLG,2022,總順位: 6,,,24,PLG 臺北富邦勇士,,,,
周桂羽,PLG,本土,24,192,1998/07/19,,,,,,,,,,8,PLG 臺北富邦勇士,8,PLG 臺北富邦勇士,8,PLG 臺北富邦勇士
曾祥鈞,PLG,本土,24,205,1998/08/08,,,,,,,,,,21,PLG 臺北富邦勇士,21,PLG 臺北富邦勇士,21,PLG 臺北富邦勇士
洪楷傑,PLG,本土,24,185,1998/10/07,,,,,PLG,2021,總順位: 3,,,11,PLG 臺北富邦勇士,11,PLG 新北國王,,
陳范柏彥,PLG,本土,23,196,2000/01/24,,,,,PLG,2022,總順位: 2,,,1,PLG 臺北富邦勇士,,,,
Chris Johnson,PLG,洋將,37,211,1985/07/17,2010,Rookie,,,,,,,,5,PLG 臺北富邦勇士,,,,
Michael Singletary,PLG,洋將,34,198,1988/09/19,,,,,,,,,,17,PLG 臺北富邦勇士,17,PLG 臺北富邦勇士,17,PLG 臺北富邦勇士
Ihor Zaytsev,PLG,洋將,33,211,1989/05/11,,,,,,,,,,32,PLG 臺北富邦勇士,32,PLG 臺北富邦勇士,32,PLG 臺北富邦勇士
Ryan Marchand,PLG,總教練,34,,1988/11/18,,,,,,,,,,,PLG 新北國王,,PLG 新北國王,,
Quincy Davis III,PLG,歸化,40,203,1983/02/16,,,,,,,,,,50,PLG 新北國王,50,PLG 新北國王,50,PLG 桃園領航猿
楊敬敏,PLG,本土,39,190,1984/01/22,,,,,,,,,,6,PLG 新北國王,6,PLG 新北國王,6,PLG 台新夢想家
林金榜,PLG,本土,37,190,1985/06/15,,,,,,,,2007,總順位:13,19,PLG 新北國王,9,PLG 桃園領航猿,9,SBL 桃園璞園建築
洪志善,PLG,本土,37,176,1985/07/05,,,,,,,,,,24,PLG 新北國王,24,PLG 新北國王,,
林力仁,PLG,本土,32,183,1990/06/16,,,,,,,,2011,總順位:10,7,PLG 新北國王,7,PLG 新北國王,7,PLG 新竹街口攻城獅
林書緯,PLG,華裔,30,182,1992/06/21,,,,,,,,,,1,PLG 新北國王,1,PLG 臺北富邦勇士,1,PLG 臺北富邦勇士
李睿麒,PLG,本土,30,193,1993/01/07,,,,,,,,2017,總順位:11,0,PLG 新北國王,1,PLG 新北國王,1,SBL 高雄九太科技
李愷諺,PLG,本土,29,182,1993/05/06,,,,,,,,2016,總順位: 6,9,PLG 新北國王,9,PLG 新北國王,6,SBL 裕隆納智捷
楊興治,PLG,本土,29,195,1993/11/09,,,,,,,,2015,總順位: 6,13,PLG 新北國王,33,PLG 新北國王,,
簡祐哲,PLG,本土,27,180,1995/09/10,,,,,,,,2018,總順位: 2,10,PLG 新北國王,10,PLG 新北國王,10,SBL 台灣啤酒
蘇士軒,PLG,本土,26,197,1996/04/09,,,,,,,,2020,總順位: 2,17,PLG 新北國王,17,SBL 臺灣銀行,17,SBL 臺灣銀行
聶歐瑪,PLG,外籍生,24,205,1998/05/15,,,,,PLG,2021,總順位: 7,,,25,PLG 新北國王,25,PLG 新北國王,,
林仕軒,PLG,本土,24,178,1998/12/28,,,,,PLG,2021,總順位:12,,,2,PLG 新北國王,2,PLG 新北國王,,
曾于豪,PLG,本土,23,196,1999/08/05,,,,,PLG,2021,總順位:10,,,15,PLG 新北國王,15,PLG 新北國王,,
李威廷,PLG,本土,23,181,1999/10/03,,,,,PLG,2022,總順位: 9,,,4,PLG 新北國王,,,,
高承恩,PLG,本土,23,176,1999/12/23,,,,,,,,,,22,PLG 新北國王,,,,
陳俊男,PLG,本土,22,190,2000/04/20,,,,,PLG,2021,總順位: 4,,,3,PLG 新北國王,3,PLG 新北國王,,
Byron Mullens,PLG,洋將,34,213,1989/02/14,2009,總順位:24,,,,,,,,5,PLG 新北國王,32,PLG 新北國王,,
Kenny Manigault,PLG,洋將,31,196,1991/05/22,,,,,,,,,,55,PLG 新北國王,,,,
Iurgi Caminos,PLG,總教練,44,,1978/12/29,,,,,,,,,,,PLG 桃園璞園領航猿,,T1 臺中葳格太陽,,
成力煥,PLG,本土,35,190,1988/03/05,,,,,,,,2014,總順位:13,21,PLG 桃園璞園領航猿,7,PLG 台新夢想家,21,PLG 新竹街口攻城獅
施晉堯,PLG,本土,32,188,1990/10/28,,,,,,,,,,28,PLG 桃園璞園領航猿,28,PLG 桃園領航猿,28,PLG 桃園領航猿
陳冠全,PLG,本土,29,197,1993/12/30,,,,,,,,2014,總順位: 2,15,PLG 桃園璞園領航猿,30,PLG 桃園領航猿,30,PLG 桃園領航猿
黃泓瀚,PLG,本土,28,192,1994/10/15,,,,,,,,2017,總順位: 2,22,PLG 桃園璞園領航猿,22,PLG 桃園領航猿,22,SBL 台灣啤酒
陳昱瑞,PLG,本土,27,185,1995/12/22,,,,,,,,2018,總順位: 1,100,PLG 桃園璞園領航猿,13,PLG 桃園領航猿,13,SBL 臺灣銀行
盧峻翔,PLG,本土,25,188,1997/07/15,,,,,,,,2020,總順位: 4,69,PLG 桃園璞園領航猿,69,PLG 桃園領航猿,69,SBL 桃園璞園建築
關達佑,PLG,本土,25,181,1997/09/15,,,,,,,,,,6,PLG 桃園璞園領航猿,6,PLG 桃園領航猿,6,PLG 桃園領航猿
丁恩迪,PLG,外籍生,24,207,1998/08/01,,,,,PLG,2022,總順位: 4,,,1,PLG 桃園璞園領航猿,,,,
李家慷,PLG,本土,24,185,1998/10/16,,,,,,,,2017,總順位: 3,12,PLG 桃園璞園領航猿,12,PLG 桃園領航猿,12,SBL 桃園璞園建築
白曜誠,PLG,本土,24,183,1999/02/02,,,,,PLG,2022,總順位: 3,,,30,PLG 桃園璞園領航猿,,,,
張鎮衙,PLG,本土,23,195,1999/10/13,,,,,PLG,2022,總順位: 1,,,27,PLG 桃園璞園領航猿,,,,
林子洧,PLG,本土,22,188,2000/05/12,,,,,PLG,2022,總順位: 7,,,5,PLG 桃園璞園領航猿,,,,
林 正,PLG,本土,22,202,2000/07/25,,,,,,,,,,25,PLG 桃園璞園領航猿,25,PLG 桃園領航猿,25,PLG 桃園領航猿
Jeffrey Ayres,PLG,洋將,35,208,1987/04/29,2009,總順位:31,,,,,,,,4,PLG 桃園璞園領航猿,,,,
Sani Sakakini,PLG,洋將,34,203,1988/08/19,,,,,,,,,,13,PLG 桃園璞園領航猿,13,T1 臺中葳格太陽,,
Jason Washburn,PLG,洋將,32,213,1990/06/05,,,,,,,,,,42,PLG 桃園璞園領航猿,,,,
林冠綸,PLG,總教練,39,187,1984/01/23,,,,,,,,,,,PLG 新竹街口攻城獅,,PLG 新竹街口攻城獅,,PLG 新竹街口攻城獅
呂奇旻,PLG,本土,33,188,1989/10/27,,,,,,,,2013,總順位: 1,23,PLG 新竹街口攻城獅,23,SBL 台灣啤酒,23,SBL 台灣啤酒
宋宇軒,PLG,本土,33,185,1989/12/05,,,,,,,,2012,總順位: 3,5,PLG 新竹街口攻城獅,5,PLG 新竹街口攻城獅,5,PLG 新竹街口攻城獅
郭少傑,PLG,本土,32,190,1990/04/09,,,,,,,,2013,總順位: 8,24,PLG 新竹街口攻城獅,24,PLG 新竹街口攻城獅,9,PLG 臺北富邦勇士
陳則語,PLG,本土,31,184,1991/05/12,,,,,,,,2010,總順位: 8,26,PLG 新竹街口攻城獅,,,,
蕭順議,PLG,本土,30,193,1992/10/23,,,,,,,,2015,總順位: 2,11,PLG 新竹街口攻城獅,11,PLG 新竹街口攻城獅,1,PLG 新竹街口攻城獅
李家瑞,PLG,本土,28,200,1994/12/04,,,,,,,,2013,總順位: 2,12,PLG 新竹街口攻城獅,12,PLG 新竹街口攻城獅,12,PLG 新竹街口攻城獅
曾柏喻,PLG,本土,26,184,1996/12/03,,,,,PLG,2022,總順位:10,2021,總順位: 1,7,PLG 新竹街口攻城獅,7,SBL 高雄九太科技,,
朱雲豪,PLG,本土,25,195,1997/11/03,,,,,PLG,2021,總順位: 1,,,8,PLG 新竹街口攻城獅,8,PLG 新竹街口攻城獅,,
姜廣謙,PLG,本土,24,184,1998/05/07,,,,,,,,2020,總順位:10,2,PLG 新竹街口攻城獅,10,SBL 桃園璞園建築,10,SBL 桃園璞園建築
田 浩,PLG,本土,24,174,1998/09/16,,,,,,,,,,9,PLG 新竹街口攻城獅,9,PLG 新竹街口攻城獅,14,PLG 新竹街口攻城獅
高國豪,PLG,本土,24,180,1998/09/22,,,,,,,,,,4,PLG 新竹街口攻城獅,4,PLG 新竹街口攻城獅,4,PLG 新竹街口攻城獅
伊波卡,PLG,外籍生,22,200,2000/06/29,,,,,PLG,2022,總順位: 5,,,21,PLG 新竹街口攻城獅,,,,
Jeremy Tyler,PLG,洋將,31,210,1991/06/21,2011,總順位:39,,,,,,,,3,PLG 新竹街口攻城獅,,,,
William Artino,PLG,歸化,30,211,1992/06/27,,,,,,,,,,31,PLG 新竹街口攻城獅,31,T1 臺南台鋼獵鷹,,
Anthony Bennett,PLG,洋將,30,203,1993/03/14,2013,總順位: 1,,,,,,,,13,PLG 新竹街口攻城獅,20,PLG 高雄鋼鐵人,,
賴柏霖,PLG,總教練,33,,1989/11/10,,,,,,,,2011,總順位: 3,,PLG 台新夢想家,,,,
簡 浩,PLG,本土,38,200,1985/03/07,,,,,,,,2009,總順位: 1,21,PLG 台新夢想家,21,PLG 台新夢想家,21,SBL 裕隆納智捷
周柏臣,PLG,本土,32,198,1990/08/08,,,,,,,,2010,總順位: 2,88,PLG 台新夢想家,8,SBL 裕隆納智捷,8,SBL 裕隆納智捷
林耀宗,PLG,本土,32,194,1990/09/07,,,,,,,,2012,總順位: 2,7,PLG 台新夢想家,7,PLG 桃園領航猿,7,PLG 桃園領航猿
盧冠良,PLG,本土,31,185,1991/04/09,,,,,,,,2014,總順位: 3,28,PLG 台新夢想家,28,SBL 裕隆納智捷,28,SBL 裕隆納智捷
李德威,PLG,本土,31,200,1991/10/15,,,,,,,,2010,總順位: 3,26,PLG 台新夢想家,26,PLG 台新夢想家,26,PLG 台新夢想家
吳松蔚,PLG,本土,29,185,1993/05/21,,,,,,,,,,30,PLG 台新夢想家,30,PLG 台新夢想家,30,PLG 台新夢想家
吳家駿,PLG,本土,29,174,1994/03/03,,,,,,,,2016,總順位: 7,3,PLG 台新夢想家,3,PLG 桃園領航猿,3,SBL 桃園璞園建築
錢肯尼,PLG,華裔,28,186,1995/02/06,,,,,,,,,,23,PLG 台新夢想家,23,PLG 台新夢想家,23,PLG 台新夢想家
吳永盛,PLG,本土,26,186,1996/10/19,,,2019,總順位: 6,,,,,,14,PLG 台新夢想家,14,PLG 台新夢想家,10,CBA 新疆廣匯
楊盛硯,PLG,本土,26,178,1997/01/18,,,2019,總順位:16,,,,,,18,PLG 台新夢想家,18,PLG 台新夢想家,18,PLG 台新夢想家
陳振傑,PLG,本土,25,185,1997/09/16,,,,,,,,,,0,PLG 台新夢想家,0,PLG 台新夢想家,0,PLG 台新夢想家
林俊吉,PLG,本土,25,173,1998/01/29,,,,,,,,,,11,PLG 台新夢想家,11,PLG 台新夢想家,11,PLG 台新夢想家
王振原,PLG,本土,24,175,1998/09/02,,,,,PLG,2021,總順位:14,,,8,PLG 台新夢想家,8,PLG 台新夢想家,,
忻沃克,PLG,華裔,24,196,1998/09/21,,,,,,,,,,24,PLG 台新夢想家,24,PLG 台新夢想家,24,PLG 台新夢想家
Ilkan Karaman,PLG,洋將,32,205,1990/05/13,2012,總順位:57,,,,,,,,35,PLG 台新夢想家,,,,
Chris McCullough,PLG,洋將,28,206,1995/02/05,2015,總順位:29,,,,,,,,5,PLG 台新夢想家,5,PLG 新北國王,,
Brandon Gilbeck,PLG,洋將,26,213,1996/12/09,,,,,,,,,,34,PLG 台新夢想家,34,PLG 台新夢想家,,
鄭志龍,PLG,總教練,53,,1969/08/29,,,,,,,,,,,PLG 高雄17直播鋼鐵人,,PLG 桃園領航猿,,
呂政儒,PLG,本土,36,194,1986/04/13,,,,,,,,,,13,PLG 高雄17直播鋼鐵人,13,PLG 高雄鋼鐵人,13,SBL 裕隆納智捷
林書豪,PLG,華裔,34,192,1988/08/23,2010,Rookie,,,,,,,,7,PLG 高雄17直播鋼鐵人,7,CBA 北京首鋼,7,NBA G League Santa Cruz Warriors
張伯維,PLG,本土,32,190,1990/07/22,,,,,,,,2009,總順位: 2,77,PLG 高雄17直播鋼鐵人,7,PLG 高雄鋼鐵人,7,PLG 臺北富邦勇士
周儀翔,PLG,本土,32,191,1991/02/04,,,,,,,,2014,總順位: 4,6,PLG 高雄17直播鋼鐵人,6,PLG 高雄鋼鐵人,27,CBA 北京首鋼
林郅為,PLG,本土,30,200,1992/07/10,,,,,,,,2014,總順位: 1,18,PLG 高雄17直播鋼鐵人,12,日本 B2 福岡新銳,7,SBL 臺灣銀行
盧哲毅,PLG,本土,29,187,1993/07/15,,,,,,,,,,15,PLG 高雄17直播鋼鐵人,15,PLG 高雄鋼鐵人,15,PLG 新竹街口攻城獅
鄭德維,PLG,本土,27,193,1995/10/08,,,,,PLG,2021,總順位:13,,,12,PLG 高雄17直播鋼鐵人,12,PLG 高雄鋼鐵人,,
邱柏璋,PLG,本土,27,190,1995/11/02,,,,,,,,2018,總順位:14,14,PLG 高雄17直播鋼鐵人,12,T1 臺中葳格太陽,8,SBL 桃園璞園建築
王柏智,PLG,本土,26,195,1996/10/29,,,,,,,,,,10,PLG 高雄17直播鋼鐵人,10,PLG 高雄鋼鐵人,10,PLG 台新夢想家
林柏豪,PLG,本土,26,192,1997/01/08,,,,,,,,2020,總順位: 6,1,PLG 高雄17直播鋼鐵人,6,SBL 高雄九太科技,23,SBL 高雄九太科技
藍少甫,PLG,本土,26,195,1997/03/21,,,,,PLG,2021,總順位: 8,,,23,PLG 高雄17直播鋼鐵人,23,PLG 高雄鋼鐵人,,
張傑瑋,PLG,外籍生,25,184,1997/09/06,,,,,PLG,2022,總順位: 8,,,2,PLG 高雄17直播鋼鐵人,,,,
孫思堯,PLG,本土,25,205,1997/10/03,,,,,,,,,,20,PLG 高雄17直播鋼鐵人,18,T1 臺中葳格太陽,15,PLG 桃園領航猿
王律翔,PLG,本土,25,184,1997/12/21,,,,,PLG,2021,總順位: 6,,,8,PLG 高雄17直播鋼鐵人,8,PLG 高雄鋼鐵人,,
林均濠,PLG,本土,25,193,1998/01/19,,,,,PLG,2021,總順位: 5,,,11,PLG 高雄17直播鋼鐵人,11,PLG 高雄鋼鐵人,,
陳又瑋,PLG,本土,23,183,1999/12/29,,,,,PLG,2021,總順位: 2,,,4,PLG 高雄17直播鋼鐵人,4,PLG 高雄鋼鐵人,,
Wendell Lewis,PLG,洋將,33,208,1989/09/21,,,,,,,,,,5,PLG 高雄17直播鋼鐵人,,,,
Gokul Natesan,PLG,洋將,28,196,1994/05/20,,,,,,,,,,3,PLG 高雄17直播鋼鐵人,,,,
Femi Olujobi,PLG,洋將,27,206,1996/03/05,,,,,,,,,,0,PLG 高雄17直播鋼鐵人,,,,
楊志豪,T1,總教練,48,,1974/08/31,,,,,,,,,,,T1 台灣啤酒英熊,,T1 台灣啤酒英熊,,
朱億宗,T1,本土,36,186,1986/08/04,,,,,,,,2007,總順位:17,24,T1 台灣啤酒英熊,24,T1 台灣啤酒英熊,24,SBL 台灣啤酒
黃 鎮,T1,本土,32,193,1990/06/27,,,,,,,,2013,總順位: 5,0,T1 台灣啤酒英熊,0,T1 台灣啤酒英熊,0,SBL 台灣啤酒
周伯勳,T1,本土,32,197,1991/03/06,,,,,,,,2012,總順位: 1,20,T1 台灣啤酒英熊,20,T1 台灣啤酒英熊,20,SBL 台灣啤酒
蔣淯安,T1,本土,31,174,1991/08/04,,,,,,,,2014,總順位: 5,14,T1 台灣啤酒英熊,14,T1 台灣啤酒英熊,14,SBL 台灣啤酒
李啓瑋,T1,本土,29,192,1993/04/08,,,,,,,,2014,總順位: 7,75,T1 台灣啤酒英熊,75,T1 台灣啤酒英熊,75,SBL 台灣啤酒
楊天佑,T1,本土,29,172,1993/09/24,,,,,,,,,,19,T1 台灣啤酒英熊,19,SBL 台灣啤酒,,
范士恩,T1,本土,28,198,1994/06/01,,,,,,,,2016,總順位: 3,15,T1 台灣啤酒英熊,15,T1 台灣啤酒英熊,15,SBL 台灣啤酒
黃聰翰,T1,本土,28,193,1994/07/07,,,,,,,,2016,總順位: 4,11,T1 台灣啤酒英熊,11,T1 台灣啤酒英熊,11,SBL 台灣啤酒
梁浩真,T1,本土,27,184,1995/12/04,,,,,,,,,,27,T1 台灣啤酒英熊,6,SBL 台灣啤酒,53,SBL 桃園璞園建築
曹薰襄,T1,本土,24,181,1999/03/16,,,,,T1,2022,第1輪指名,,,57,T1 台灣啤酒英熊,,,,
Hasheem Thabeet,T1,洋將,36,221,1987/02/16,2009,總順位: 2,,,,,,,,34,T1 台灣啤酒英熊,,,34,PLG 新竹街口攻城獅
