姓名,聯盟,身份,年齡,身高,生日,NBA選秀年,NBA選秀順位,CBA選秀年,CBA選秀順位,選秀聯盟,選秀年,選秀順位,SBL選秀年,SBL選秀順位,2022_2023背號,2022_2023隊伍,2021_2022背號,2021_2022隊伍,2020_2021背號,2020_2021隊伍
吳祐任,SBL,本土,29,176,1993/11/15,,,,,,,,2016,總順位: 8,27,SBL 裕隆納智捷,27,SBL 裕隆納智捷,27,SBL 臺灣銀行
李其恩,SBL,本土,27,186,1995/12/17,,,,,,,,2018,總順位: 8,49,SBL 裕隆納智捷,49,SBL 裕隆納智捷,49,SBL 臺灣銀行
林義恩,SBL,本土,26,185,1996/06/08,,,,,,,,,,17,SBL 裕隆納智捷,15,SBL 高雄九太科技,17,SBL 桃園璞園建築
周暐宸,SBL,本土,26,188,1996/09/01,,,,,,,,2018,總順位: 5,95,SBL 裕隆納智捷,95,SBL 臺灣銀行,95,SBL 臺灣銀行
邱忠博,SBL,本土,26,188,1996/09/03,,,,,,,,2021,總順位:13,1,SBL 裕隆納智捷,7,SBL 裕隆納智捷,,
黃宗翰,SBL,本土,26,195,1996/10/10,,,,,,,,,,31,SBL 裕隆納智捷,13,T1 臺南台鋼獵鷹,,
斑 霸,SBL,外籍生,26,201,1997/01/07,,,,,,,,2020,總順位: 3,23,SBL 裕隆納智捷,23,SBL 裕隆納智捷,23,SBL 裕隆納智捷
顏文佐,SBL,本土,25,188,1997/12/08,,,,,,,,2021,總順位: 3,11,SBL 裕隆納智捷,11,SBL 裕隆納智捷,,
吳季穎,SBL,本土,25,182,1998/03/25,,,,,,,,2020,總順位: 9,3,SBL 裕隆納智捷,25,T1 桃園雲豹,,SBL 桃園璞園建築
陳品銓,SBL,本土,24,183,1998/10/18,,,,,,,,2022,總順位: 6,16,SBL 裕隆納智捷,,,,
黃鉉閔,SBL,本土,23,183,2000/02/09,,,,,,,,2022,總順位: 2,5,SBL 裕隆納智捷,,,,
Walter Sharpe,SBL,洋將,36,204,1986/07/18,2008,總順位:32,,,,,,,,33,SBL 裕隆納智捷,33,SBL 裕隆納智捷,,
吳俊雄,SBL,總教練,38,,1984/08/26,,,,,,,,,,,SBL 彰化柏力力,,,,
施顏宗,SBL,本土,30,193,1992/05/29,,,,,,,,2015,總順位: 1,0,SBL 彰化柏力力,5,PLG 桃園領航猿,7,SBL 桃園璞園建築
邱家佑,SBL,本土,27,190,1995/06/01,,,,,,,,2021,總順位:14,26,SBL 彰化柏力力,26,SBL 桃園璞園建築,,
趙得恩,SBL,本土,27,184,1995/07/05,,,,,,,,2021,總順位:16,7,SBL 彰化柏力力,7,SBL 桃園璞園建築,,
莊又齊,SBL,本土,27,190,1995/08/14,,,,,,,,,,81,SBL 彰化柏力力,81,SBL 桃園璞園建築,,
鄭子洋,SBL,本土,27,205,1995/11/22,,,,,,,,,,97,SBL 彰化柏力力,97,PLG 台新夢想家,26,SBL 裕隆納智捷
李謨汎,SBL,本土,25,193,1997/04/02,,,,,,,,2021,總順位: 4,1,SBL 彰化柏力力,1,SBL 桃園璞園建築,,
朱恩麟,SBL,本土,25,192,1997/06/17,,,,,,,,2021,總順位: 8,22,SBL 彰化柏力力,22,SBL 桃園璞園建築,,
郭 翰,SBL,本土,24,195,1998/08/28,,,,,,,,2022,總順位: 9,14,SBL 彰化柏力力,,,,
黃建智,SBL,本土,24,189,1998/09/08,,,,,,,,2022,總順位:11,13,SBL 彰化柏力力,,,,
陳奕綸,SBL,本土,24,172,1998/09/09,,,,,,,,2021,總順位:24,5,SBL 彰化柏力力,5,SBL 桃園璞園建築,,
蔣浩偉,SBL,本土,24,176,1998/10/28,,,,,,,,2022,總順位: 5,10,SBL 彰化柏力力,,,,
林俊恩,SBL,本土,24,176,1999/01/28,,,,,,,,2021,總順位:11,28,SBL 彰化柏力力,28,SBL 桃園璞園建築,,
江尚謙,SBL,本土,23,181,1999/10/23,,,,,,,,2022,總順位: 1,77,SBL 彰化柏力力,,,,
Julian Boyd,SBL,洋將,33,196,1990/02/02,,,,,,,,,,42,SBL 彰化柏力力,42,PLG 台新夢想家,,
崔浩恩,,本土,20,183,2002/10/01,,,,,,,,,,2,日本 B3 豐田合成蠍子,,,,
蘇志誠,,本土,23,178,1999/04/15,,,,,,,,,,10,PLG 桃園璞園領航猿,10,PLG 桃園領航猿,,
楊浩之,,華裔,27,188,1995/10/20,,,,,PLG,2021,總順位:15,,,30,PLG 高雄17直播鋼鐵人,30,PLG 高雄鋼鐵人,,
陳堅恩,,華裔,33,178,1988/10/04,,,,,,,,,,,,6,PLG 新竹街口攻城獅,6,PLG 新竹街口攻城獅
容毅燊,,外籍生,26,200,1996/02/09,,,,,,,,,,,,52,PLG 新竹街口攻城獅,52,PLG 新竹街口攻城獅
李秉鴻,,本土,32,183,1989/11/03,,,,,,,,2012,總順位: 8,,,5,T1 臺中葳格太陽,13,SBL 高雄九太科技
周資華,,本土,34,183,1987/10/04,,,,,,,,,,,,7,T1 臺中葳格太陽,,
張智峰,,本土,41,183,1981/04/22,,,,,,,,,,,,13,T1 桃園雲豹,,
謝育政,,本土,27,195,1994/10/01,,,,,,,,,,,,6,T1 桃園雲豹,,
余孟耘,,本土,26,177,1996/05/08,,,,,,,,,,,,3,T1 桃園雲豹,,
劉 靖,,本土,27,181,1994/11/17,,,,,,,,,,,,20,T1 桃園雲豹,,
蔡耀勛,,本土,38,190,1983/11/24,,,,,,,,,,,,19,T1 臺南台鋼獵鷹,,
張家榮,,本土,33,192,1988/09/28,,,,,,,,2012,總順位: 5,,,5,T1 臺南台鋼獵鷹,,
蔣喬安,,本土,27,180,1994/12/07,,,,,,,,,,,,3,T1 臺南台鋼獵鷹,,
林冠均,,本土,26,184,1995/08/21,,,,,,,,,,,,11,T1 臺南台鋼獵鷹,6,PLG 臺北富邦勇士
高國強,,本土,25,172,1997/03/23,,,,,,,,,,,,7,T1 臺南台鋼獵鷹,,
劉人豪,,本土,27,195,1995/03/25,,,,,,,,2019,總順位: 3,,,10,SBL 臺灣銀行,10,SBL 臺灣銀行
陳靖凱,,本土,28,190,1993/10/21,,,,,,,,2017,總順位:16,,,21,SBL 台灣啤酒,,
李祥瑋,,本土,25,185,1997/02/15,,,,,,,,,,,,69,SBL 台灣啤酒,,
陳世杰,,本土,37,176,1984/09/24,,,,,,,,,,,,8,SBL 桃園璞園建築,8,PLG 桃園領航猿
李効輯,,本土,31,180,1991/01/23,,,,,,,,,,,,3,SBL 桃園璞園建築,,
袁加樂,,本土,27,170,1995/03/08,,,,,,,,,,,,0,SBL 桃園璞園建築,,
周宸瑋,,本土,25,188,1996/10/22,,,,,,,,2021,總順位:22,,,35,SBL 桃園璞園建築,,
陳政軒,,本土,23,188,1999/01/28,,,,,,,,2021,總順位:18,,,6,SBL 桃園璞園建築,,
謝宗憲,,本土,24,190,1997/06/07,,,,,,,,2021,總順位:12,,,22,SBL 高雄九太科技,,
孫永成,,本土,24,186,1997/07/05,,,,,,,,2021,總順位: 9,,,13,SBL 高雄九太科技,,
林秉豪,,本土,22,180,1999/08/07,,,,,,,,2021,總順位:17,,,5,SBL 高雄九太科技,,
田 壘,,本土,37,203,1983/06/01,,,,,,,,,,,,,,1,PLG 台新夢想家
紀松佑,,本土,25,185,1995/07/01,,,,,,,,,,,,,,7,PLG 台新夢想家
賴國維,,本土,31,180,1990/03/02,,,,,,,,2010,總順位: 4,,,,,18,PLG 桃園領航猿
潘冠翰,,本土,31,196,1989/06/19,,,,,,,,2008,總順位:14,,,,,11,PLG 新竹街口攻城獅
陳世念,,本土,37,182,1984/04/08,,,,,,,,,,,,,,9,SBL 台灣啤酒
李冠霆,,本土,26,180,1995/02/19,,,,,,,,,,,,,,6,SBL 桃園璞園建築
陳景隆,,本土,25,193,1995/09/01,,,,,,,,,,,,,,14,SBL 桃園璞園建築
Austin Daye,,洋將,34,211,1988/06/05,2009,總順位:15,,,,,,,,11,PLG 新北國王,,,,
DaJuan Summers,,洋將,34,203,1988/01/24,2009,總順位:35,,,,,,,,35,PLG 新北國王,,,,
Jamel Artis,,洋將,29,201,1993/01/12,2017,Rookie,,,,,,,,8,PLG 新北國王,,,,
Ricci Rivero,,洋將,24,185,1998/05/25,,,,,,,,,,8,PLG 桃園璞園領航猿,,,,
Sir'Dominic Pointer,,洋將,30,195,1992/05/06,2015,總順位:53,,,,,,,,15,PLG 台新夢想家,,,,
Malcolm Miller,,洋將,29,201,1993/03/06,2017,Rookie,,,,,,,,13,PLG 台新夢想家,,,,
Terrico White,,洋將,33,196,1990/03/07,2010,總順位:36,,,,,,,,6,PLG 新竹街口攻城獅,,,,
Viacheslav Kravtsov,,洋將,35,212,1987/08/25,2012,Rookie,,,,,,,,55,PLG 高雄17直播鋼鐵人,,,,
Aaron Harrison,,洋將,28,198,1994/10/28,2015,Rookie,,,,,,,,19,PLG 高雄17直播鋼鐵人,,,,
Manny Harris,,洋將,33,196,1989/09/21,2010,Rookie,,,,,,,,3,PLG 高雄17直播鋼鐵人,3,PLG 高雄鋼鐵人,,
Terrence Jones,,洋將,30,208,1992/01/09,2012,總順位:12,,,,,,,,9,PLG 高雄17直播鋼鐵人,,,,
Andrija Bojić,,洋將,29,208,1993/05/28,,,,,,,,,,16,PLG 高雄17直播鋼鐵人,,,,
Vance Jackson,,洋將,25,206,1997/08/20,,,,,,,,,,14,PLG 高雄17直播鋼鐵人,,,,
Demetrius Conger,,洋將,32,198,1990/05/29,,,,,,,,,,5,T1 新北中信特攻,,,,
Jure Gunjina,,洋將,30,203,1992/08/06,,,,,,,,,,32,T1 新北中信特攻,,,,
Nicholas Faust,,洋將,30,198,1993/02/25,,,,,,,,,,8,T1 臺南台鋼獵鷹,7,PLG 新竹街口攻城獅,,
Shaheed Davis,,洋將,28,206,1994/02/14,,,,,,,,,,7,T1 臺南台鋼獵鷹,,,,
Taylor Braun,,洋將,31,198,1991/07/06,,,,,,,,,,24,T1 臺南台鋼獵鷹,24,PLG 高雄鋼鐵人,,
Sedrick Barefield,,洋將,26,188,1996/11/18,,,,,,,,,,17,T1 臺南台鋼獵鷹,,,,
D'Montre Edwards,,洋將,30,196,1992/04/20,,,,,,,,,,32,T1 臺南台鋼獵鷹,,,,
Elijah Thomas,,洋將,26,206,1996/10/10,,,,,,,,,,2,T1 高雄全家海神,2,T1 桃園雲豹,,
Prince Ibeh,,洋將,28,208,1994/06/03,,,,,,,,,,1,T1 台灣啤酒英熊,1,T1 新北中信特攻,,
Cleanthony Early,,洋將,31,203,1991/04/17,2014,總順位:34,,,,,,,,23,T1 台灣啤酒英熊,23,T1 新北中信特攻,,
Milenko Veljković,,洋將,27,218,1995/09/20,,,,,,,,,,7,T1 台灣啤酒英熊,,,,
Matt Hodgson,,洋將,31,211,1991/08/02,,,,,,,,,,6,T1 台灣啤酒英熊,,,,
Stephan Hicks,,洋將,30,198,1992/04/02,,,,,,,,,,3,T1 台灣啤酒英熊,17,PLG 台新夢想家,17,PLG 台新夢想家
Marlon Johnson,,洋將,29,208,1994/02/28,,,,,,,,,,11,T1 臺中太陽,13,T1 新北中信特攻,,
Raphiael Putney,,洋將,32,209,1990/04/21,,,,,,,,,,12,T1 臺中太陽,,,,
Jordan Tolbert,,洋將,30,200,1992/11/08,,,,,,,,,,22,T1 臺中太陽,1,PLG 桃園領航猿,1,SBL 桃園璞園建築
Tony Bishop,,洋將,33,201,1989/07/16,,,,,,,,,,2,T1 臺中太陽,,,,
Diamond Stone,,洋將,25,208,1997/02/10,2016,總順位:40,,,,,,,,33,T1 臺中太陽,33,T1 台灣啤酒英熊,,
Mike Edwards,,洋將,25,208,1997/05/20,,,,,,,,,,7,T1 臺中太陽,,,,
Adam Łapeta,,洋將,35,218,1987/11/09,,,,,,,,,,16,T1 桃園永豐雲豹,,,,
Troy Williams,,洋將,28,201,1994/12/30,2016,Rookie,,,,,,,,5,T1 桃園永豐雲豹,5,T1 桃園雲豹,,
Cornelius Hudson,,洋將,29,198,1993/12/29,,,,,,,,,,2,SBL 台灣啤酒,,,,
Mike Bruesewitz,,洋將,31,199,1990/08/09,,,,,,,,,,,,31,PLG 新竹街口攻城獅,,
Stefan Janković,,洋將,28,211,1993/08/04,,,,,,,,,,,,33,PLG 台新夢想家,,
Ricky Ledo,,洋將,29,196,1992/09/19,2013,總順位:43,,,,,,,,,,5,PLG 台新夢想家,,
DeAndre Liggins,,洋將,34,198,1988/03/31,2011,總順位:53,,,,,,,,,,34,PLG 新北國王,,
Thomas Welsh,,洋將,26,213,1996/02/03,2018,總順位:58,,,,,,,,,,40,PLG 新北國王,,
Jerran Young,,洋將,29,198,1991/12/25,,,,,,,,,,,,12,PLG 新北國王,12,PLG 台新夢想家
Nemanja Bešović,,洋將,29,221,1992/06/08,,,,,,,,,,,,18,PLG 桃園領航猿,,
Devin Robinson,,洋將,27,203,1995/03/07,2017,Rookie,,,,,,,,,,0,PLG 桃園領航猿,,
Ferrakohn Hall,,洋將,31,203,1990/09/20,,,,,,,,,,,,25,T1 高雄全家海神,,
Negus Webster-Chan,,洋將,29,201,1993/01/07,,,,,,,,,,,,14,T1 高雄全家海神,,
Niño KG Canaleta,,洋將,40,197,1982/02/12,,,,,,,,,,,,9,T1 臺中葳格太陽,,
Julian Wright,,洋將,35,203,1987/05/20,2007,總順位:13,,,,,,,,,,30,T1 臺中葳格太陽,30,PLG 新竹街口攻城獅
Anthony Tucker,,洋將,32,193,1989/09/02,,,,,,,,,,,,0,T1 臺中葳格太陽,2,PLG 台新夢想家
Jordan Heading,,洋將,26,188,1996/01/30,,,,,,,,,,,,15,T1 臺中葳格太陽,,
Alonzo Gee,,洋將,34,198,1987/05/29,2009,Rookie,,,,,,,,,,6,T1 臺中葳格太陽,,
Avery Scharer,,洋將,35,188,1986/08/23,,,,,,,,,,,,2,T1 新北中信特攻,,
Kevin Allen,,洋將,27,211,1994/08/09,,,,,,,,,,,,15,T1 新北中信特攻,,
Aaron Epps,,洋將,26,206,1996/04/28,,,,,,,,,,,,21,T1 新北中信特攻,,
Chanatip Jakrawan,,洋將,25,203,1997/01/10,,,,,,,,,,,,31,T1 新北中信特攻,,
Ramon Galloway,,洋將,31,191,1991/02/10,,,,,,,,,,,,55,T1 台灣啤酒英熊,,
Tyler Lamb,,洋將,31,196,1991/05/16,,,,,,,,,,,,1,T1 台灣啤酒英熊,,
Ronald Delph,,洋將,29,213,1993/03/29,,,,,,,,,,,,23,T1 台灣啤酒英熊,,
Doral Moore Jr.,,洋將,25,216,1997/01/21,,,,,,,,,,,,26,T1 台灣啤酒英熊,,
Maciej Lampe,,洋將,36,211,1985/02/05,2003,總順位:30,,,,,,,,,,30,T1 台灣啤酒英熊,,
Tony Mitchell Jr.,,洋將,32,198,1989/08/07,,,,,,,,,,,,1,T1 台灣啤酒英熊,,
Caelan Tiongson,,洋將,30,197,1992/05/07,,,,,,,,,,,,0,T1 桃園雲豹,,
John Gillon,,洋將,28,183,1994/03/31,,,,,,,,,,,,22,T1 桃園雲豹,,
Aleksandar Mitrović,,洋將,31,203,1990/07/22,,,,,,,,,,,,23,T1 桃園雲豹,,
Daniel Orton,,洋將,31,209,1990/08/06,2010,總順位:29,,,,,,,,,,33,T1 桃園雲豹,,
Lester Prosper,,洋將,33,209,1988/09/21,,,,,,,,,,,,34,T1 臺南台鋼獵鷹,,
Charles García,,洋將,33,204,1988/10/13,,,,,,,,,,,,36,T1 臺南台鋼獵鷹,36,PLG 臺北富邦勇士
Marcus Gilbert,,洋將,29,198,1993/01/01,,,,,,,,,,,,41,T1 臺南台鋼獵鷹,,
Jordan Chatman,,洋將,28,196,1993/05/21,,,,,,,,,,,,25,T1 臺南台鋼獵鷹,12,PLG 桃園領航猿
King Revolution,,洋將,32,202,1990/02/24,,,,,,,,,,,,4,T1 臺南台鋼獵鷹,,
Zakarie Irvin,,洋將,27,194,1994/09/05,,,,,,,,,,,,25,SBL 臺灣銀行,25,SBL 臺灣銀行
Ishmael Lane,,洋將,25,203,1997/01/20,,,,,,,,,,,,20,SBL 臺灣銀行,,
Keanau Post,,洋將,29,210,1992/09/04,,,,,,,,,,,,17,SBL 台灣啤酒,,
Kentrall Barkley,,洋將,25,188,1996/09/01,,,,,,,,,,,,0,SBL 台灣啤酒,,
Torren Jones,,洋將,27,201,1994/10/28,,,,,,,,,,,,0,SBL 裕隆納智捷,,
Nicholas Wiggins,,洋將,31,197,1991/02/04,,,,,,,,,,,,8,SBL 高雄九太科技,,
Jalen Robinson,,洋將,28,202,1993/12/25,,,,,,,,,,,,3,SBL 高雄九太科技,,
C.J. Aiken,,洋將,31,206,1990/09/27,,,,,,,,,,,,4,SBL 桃園璞園建築,,
Dashaun Wiggins,,洋將,30,188,1991/09/16,,,,,,,,,,,,23,SBL 桃園璞園建築,,
Kadeem Jack,,洋將,28,206,1992/10/27,,,,,,,,,,,,,,40,PLG 桃園領航猿
Davon Reed,,洋將,25,196,1995/06/11,2017,總順位:32,,,,,,,,,,,,5,PLG 桃園領航猿
Willie Warren,,洋將,31,193,1989/10/22,2010,總順位:54,,,,,,,,,,,,13,PLG 桃園領航猿
LaDontae Henton,,洋將,29,198,1992/01/06,,,,,,,,,,,,,,23,PLG 新竹街口攻城獅
J.D. Miller,,洋將,24,203,1996/12/01,,,,,,,,,,,,,,1,SBL 台灣啤酒
Rakeem Christmas,,洋將,29,203,1991/12/01,2015,總順位:36,,,,,,,,,,,,25,SBL 裕隆納智捷
Jordan Caroline,,洋將,25,201,1996/01/15,,,,,,,,,,,,,,24,SBL 高雄九太科技
Kyle Julius,,總教練,43,,1979/09/20,,,,,,,,,,,PLG 台新夢想家,,PLG 台新夢想家,,PLG 台新夢想家
Dean Murray,,總教練,58,,1964/06/06,,,,,,,,,,,PLG 高雄17直播鋼鐵人,,,,
Slavoljub Gorunovic,,總教練,52,,1970/02/15,,,,,,,,,,,PLG 高雄17直播鋼鐵人,,,,
劉嘉發,,總教練,54,,1969/01/06,,,,,,,,,,,T1 桃園永豐雲豹,,T1 桃園雲豹,,SBL 高雄九太科技
DeMarcus Berry,,總教練,37,,1984/04/13,,,,,,,,,,,,,PLG 高雄鋼鐵人,,
王志群,,總教練,39,,1982/04/23,,,,,,,,,,,,,T1 桃園雲豹,,
吳志偉,,總教練,45,,1976/07/31,,,,,,,,,,,,,T1 臺南台鋼獵鷹,,
徐仲毅,,總教練,32,,1990/03/19,,,,,,,,,,,,,SBL 高雄九太科技,,
黃啟峰,,總教練,38,,1984/03/12,,,,,,,,,,,,,SBL 桃園璞園建築,,
楊宜峰,,總教練,46,,1974/07/14,,,,,,,,,,,,,,,PLG 桃園領航猿
顏行書,,總教練,44,,1976/09/08,,,,,,,,,,,,,,,SBL 桃園璞園建築